251 0.5 0.5 1 0.9 0.01 0.02 0.03
252 0.5 1 0.5 0.8 0.04 0.05 0.06
253 1 0.5 0.5 0.7 0.07 0.08 0.09
254 0.5 0.5 1 0.9 0.01 0.02 0.03
255 0.5 1 0.5 0.8 0.04 0.05 0.06
256 1 0.5 0.5 0.7 0.07 0.08 0.09
257 0.5 0.5 1 0.9 0.01 0.02 0.03
258 0.5 1 0.5 0.8 0.04 0.05 0.06
259 1 0.5 0.5 0.7 0.07 0.08 0.09
260 0.5 0.5 1 0.9 0.01 0.02 0.03
261 0.5 1 0.5 0.8 0.04 0.05 0.06
262 1 0.5 0.5 0.7 0.07 0.08 0.09
263 0.5 0.5 1 0.9 0.01 0.02 0.03
264 0.5 1 0.5 0.8 0.04 0.05 0.06
265 1 0.5 0.5 0.7 0.07 0.08 0.09
266 0.5 0.5 1 0.9 0.01 0.02 0.03
267 0.5 1 0.5 0.8 0.04 0.05 0.06
268 1 0.5 0.5 0.7 0.07 0.08 0.09
269 0.5 0.5 1 0.9 0.01 0.02 0.03
270 0.5 1 0.5 0.8 0.04 0.05 0.06
271 1 0.5 0.5 0.7 0.07 0.08 0.09
272 0.5 0.5 1 0.9 0.01 0.02 0.03
273 0.5 1 0.5 0.8 0.04 0.05 0.06
274 1 0.5 0.5 0.7 0.07 0.08 0.09
275 0.5 0.5 1 0.9 0.01 0.02 0.03
276 0.5 1 0.5 0.8 0.04 0.05 0.06
277 1 0.5 0.5 0.7 0.07 0.08 0.09
278 0.5 0.5 1 0.9 0.01 0.02 0.03
279 0.5 1 0.5 0.8 0.04 0.05 0.06
280 1 0.5 0.5 0.7 0.07 0.08 0.09
281 0.5 0.5 1 0.9 0.01 0.02 0.03
282 0.5 1 0.5 0.8 0.04 0.05 0.06
283 1 0.5 0.5 0.7 0.07 0.08 0.09
284 0.5 0.5 1 0.9 0.01 0.02 0.03
285 0.5 1 0.5 0.8 0.04 0.05 0.06
286 1 0.5 0.5 0.7 0.07 0.08 0.09
287 0.5 0.5 1 0.9 0.01 0.02 0.03
288 0.5 1 0.5 0.8 0.04 0.05 0.06
289 1 0.5 0.5 0.7 0.07 0.08 0.09
290 0.5 0.5 1 0.9 0.01 0.02 0.03
291 0.5 1 0.5 0.8 0.04 0.05 0.06
292 1 0.5 0.5 0.7 0.07 0.08 0.09
293 0.5 0.5 1 0.9 0.01 0.02 0.03
294 0.5 1 0.5 0.8 0.04 0.05 0.06
295 1 0.5 0.5 0.7 0.07 0.08 0.09
296 0.5 0.5 1 0.9 0.01 0.02 0.03
297 0.5 1 0.5 0.8 0.04 0.05 0.06
298 1 0.5 0.5 0.7 0.07 0.08 0.09
299 0.5 0.5 1 0.9 0.01 0.02 0.03
300 0.5 1 0.5 0.8 0.04 0.05 0.06
301 1 0.5 0.5 0.7 0.07 0.08 0.09
302 0.5 0.5 1 0.9 0.01 0.02 0.03
303 0.5 1 0.5 0.8 0.04 0.05 0.06
304 1 0.5 0.5 0.7 0.07 0.08 0.09
305 0.5 0.5 1 0.9 0.01 0.02 0.03
306 0.5 1 0.5 0.8 0.04 0.05 0.06
307 1 0.5 0.5 0.7 0.07 0.08 0.09
308 0.5 0.5 1 0.9 0.01 0.02 0.03
309 0.5 1 0.5 0.8 0.04 0.05 0.06
310 1 0.5 0.5 0.7 0.07 0.08 0.09
311 0.5 0.5 1 0.9 0.01 0.02 0.03
312 0.5 1 0.5 0.8 0.04 0.05 0.06
313 1 0.5 0.5 0.7 0.07 0.08 0.09
314 0.5 0.5 1 0.9 0.01 0.02 0.03
315 0.5 1 0.5 0.8 0.04 0.05 0.06
316 1 0.5 0.5 0.7 0.07 0.08 0.09
317 0.5 0.5 1 0.9 0.01 0.02 0.03
318 0.5 1 0.5 0.8 0.04 0.05 0.06
319 1 0.5 0.5 0.7 0.07 0.08 0.09
320 0.5 0.5 1 0.9 0.01 0.02 0.03
321 0.5 1 0.5 0.8 0.04 0.05 0.06
322 1 0.5 0.5 0.7 0.07 0.08 0.09
323 0.5 0.5 1 0.9 0.01 0.02 0.03
324 0.5 1 0.5 0.8 0.04 0.05 0.06
325 1 0.5 0.5 0.7 0.07 0.08 0.09
326 0.5 0.5 1 0.9 0.01 0.02 0.03
327 0.5 1 0.5 0.8 0.04 0.05 0.06
328 1 0.5 0.5 0.7 0.07 0.08 0.09
329 0.5 0.5 1 0.9 0.01 0.02 0.03
330 0.5 1 0.5 0.8 0.04 0.05 0.06
331 1 0.5 0.5 0.7 0.07 0.08 0.09
332 0.5 0.5 1 0.9 0.01 0.02 0.03
333 0.5 1 0.5 0.8 0.04 0.05 0.06
